Date,State of charge
2012-04-08 15:56:00,99
2012-04-08 21:19:00,99
2012-04-08 21:22:00,97
2012-04-09 08:33:00,97
2012-04-09 08:37:00,96
2012-04-09 08:40:00,96
2012-04-09 08:43:00,95
2012-04-09 15:48:00,95
2012-04-09 15:51:00,93
2012-04-09 21:15:00,93
2012-04-09 21:18:00,92
2012-04-09 23:32:00,92
2012-04-09 23:36:00,89
2012-04-10 07:00:00,89
2012-04-10 07:24:00,63
2012-04-10 17:32:00,63
2012-04-10 17:55:00,40
2012-04-10 17:55:00,40
2012-04-10 22:15:00,100
2012-04-11 07:19:00,100
2012-04-11 07:43:00,71
2012-04-11 16:19:00,71
2012-04-11 16:54:00,43
2012-04-11 16:55:00,43
2012-04-11 21:03:00,100
2012-04-12 06:57:00,100
2012-04-12 07:19:00,69
2012-04-12 16:59:00,69
2012-04-12 17:01:00,68
2012-04-12 17:07:00,68
2012-04-12 17:09:00,67
2012-04-12 17:34:00,67
2012-04-12 17:55:00,47
2012-04-12 18:11:00,47
2012-04-12 18:20:00,44
2012-04-12 18:40:00,44
2012-04-12 18:44:00,42
2012-04-12 18:44:00,42
2012-04-12 22:46:00,100
2012-04-13 07:22:00,100
2012-04-13 07:56:00,65
2012-04-13 15:27:00,65
2012-04-13 15:40:00,61
2012-04-13 15:59:00,61
2012-04-13 16:21:00,36
2012-04-13 17:19:00,36
2012-04-13 17:22:00,35
2012-04-13 17:28:00,35
2012-04-13 17:33:00,33
2012-04-14 20:04:00,33
2012-04-14 20:07:00,32
2012-04-14 20:16:00,32
2012-04-14 20:18:00,31
2012-04-14 20:18:00,31
2012-04-15 01:22:00,100
2012-04-15 08:20:00,100
2012-04-15 08:24:00,99
2012-04-15 08:27:00,99
2012-04-15 08:30:00,97
2012-04-15 13:58:00,97
2012-04-15 14:05:00,94
2012-04-15 14:11:00,94
2012-04-15 14:17:00,91
2012-04-15 14:18:00,91
2012-04-15 14:21:00,90
2012-04-15 21:45:00,89
2012-04-15 21:49:00,87
2012-04-16 09:16:00,85
2012-04-16 09:52:00,56
2012-04-16 14:04:00,56
2012-04-16 14:13:00,53
2012-04-16 14:44:00,53
2012-04-16 14:54:00,50
2012-04-16 15:04:00,50
2012-04-16 15:11:00,48
2012-04-16 15:28:00,48
2012-04-16 15:49:00,44
2012-04-16 17:04:00,44
2012-04-16 17:10:00,43
2012-04-16 17:43:00,43
2012-04-16 18:09:00,17
2012-04-16 18:10:00,17
2012-04-16 23:58:00,99
2012-04-17 07:11:00,99
2012-04-17 07:34:00,73
2012-04-17 10:45:00,73
2012-04-17 10:49:00,72
2012-04-17 11:03:00,72
2012-04-17 11:09:00,70
2012-04-17 11:12:00,70
2012-04-17 11:17:00,68
2012-04-17 11:17:00,68
2012-04-17 13:59:00,98
2012-04-17 14:11:00,98
2012-04-17 14:17:00,93
2012-04-17 14:57:00,93
2012-04-17 14:58:00,93
2012-04-17 17:52:00,93
2012-04-17 18:16:00,68
2012-04-18 07:56:00,68
2012-04-18 08:17:00,42
2012-04-18 13:31:00,41
2012-04-18 13:33:00,41
2012-04-18 13:33:00,41
2012-04-18 18:19:00,96
2012-04-18 18:20:00,96
2012-04-18 18:25:00,95
2012-04-18 18:45:00,95
2012-04-18 19:06:00,71
2012-04-18 19:07:00,71
2012-04-18 20:40:00,98
2012-04-18 20:42:00,98
2012-04-18 20:49:00,95
2012-04-18 21:03:00,95
2012-04-18 21:11:00,92
2012-04-19 07:17:00,92
2012-04-19 07:54:00,62
2012-04-19 09:33:00,62
2012-04-19 09:34:00,62
2012-04-19 15:21:00,62
2012-04-19 15:56:00,34
2012-04-19 15:59:00,34
2012-04-19 16:03:00,32
2012-04-19 17:40:00,32
2012-04-19 17:43:00,32
2012-04-19 23:01:00,31
2012-04-19 23:05:00,28
2012-04-20 07:17:00,100
2012-04-20 07:52:00,72
2012-04-20 16:49:00,72
2012-04-20 17:11:00,49
2012-04-20 23:06:00,28
2012-04-21 04:00:00,100
2012-04-21 09:49:00,49
2012-04-21 14:03:00,100
2012-04-22 17:24:00,100
2012-04-22 17:31:00,96
2012-04-22 17:45:00,96
2012-04-22 17:53:00,93
2012-04-23 07:19:00,93
2012-04-23 07:27:00,88
2012-04-23 15:34:00,88
2012-04-23 15:42:00,83
2012-04-23 15:44:00,83
2012-04-23 15:44:00,83
2012-04-23 15:54:00,83
2012-04-23 16:04:00,81
2012-04-23 21:11:00,81
2012-04-23 21:16:00,80
2012-04-23 21:22:00,80
2012-04-23 21:26:00,79
2012-04-24 11:20:00,59
2012-04-24 11:21:00,59
2012-04-24 11:23:00,59
2012-04-24 13:40:00,83
2012-04-24 17:35:00,83
2012-04-24 17:38:00,82
2012-04-24 17:39:00,82
2012-04-24 17:48:00,82
2012-04-24 19:45:00,82
2012-04-24 19:52:00,80
2012-04-24 19:55:00,80
2012-04-24 20:01:00,78
2012-04-24 20:05:00,78
2012-04-24 20:08:00,77
2012-04-25 06:04:00,77
2012-04-25 06:09:00,74
2012-04-25 07:24:00,74
2012-04-25 07:27:00,73
2012-04-25 07:30:00,73
2012-04-25 07:35:00,72
2012-04-25 19:43:00,72
2012-04-25 20:00:00,56
2012-04-25 20:08:00,56
2012-04-25 20:26:00,40
2012-04-26 07:05:00,40
2012-04-26 07:08:00,39
2012-04-26 09:45:00,39
2012-04-26 09:48:00,38
2012-04-26 09:50:00,38
